category,source,target,expected_sha256,actual_sha256,exists,result
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Ciclos_Completados/README.md,6f74e2799488e1d61bc20bd934d376cc4ff16ea35f861a44bf8b7f7bba54d866,6f74e2799488e1d61bc20bd934d376cc4ff16ea35f861a44bf8b7f7bba54d866,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Exportaciones_Finales/JSON/README.md,d9583858058a42bd40cba8caa50cce2f03f0bb089e4c317e023bb8fc9e14f933,d9583858058a42bd40cba8caa50cce2f03f0bb089e4c317e023bb8fc9e14f933,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Exportaciones_Finales/MD/README.md,969809b352716a6cd782cfb34a8aaf114728fa6cd8c083eced187d550aea1e03,969809b352716a6cd782cfb34a8aaf114728fa6cd8c083eced187d550aea1e03,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Exportaciones_Finales/README.md,c19ef3362bb9d269d9408e135f8cc554f6c02d0e7519346f1756b11c8405c7db,c19ef3362bb9d269d9408e135f8cc554f6c02d0e7519346f1756b11c8405c7db,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Exportaciones_Finales/ZIP/README.md,0fb7ef133cc3b9f0de4bd8ed16e264965cb985853663905f8aba800d0c55b95e,0fb7ef133cc3b9f0de4bd8ed16e264965cb985853663905f8aba800d0c55b95e,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Paquetes_Intermedios/README.md,c62174200e49a6f5c3a9cea65fbc6ad9b8f72a38e1b48bd5a4dd940a52c21f5d,c62174200e49a6f5c3a9cea65fbc6ad9b8f72a38e1b48bd5a4dd940a52c21f5d,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Planes_Archivo/README.md,6a59e9e59652c39c06a63c5556aede553eabebe3447551cc32388f9ce200955f,6a59e9e59652c39c06a63c5556aede553eabebe3447551cc32388f9ce200955f,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Releases/README.md,58d06876281551a577cfd1cb81165463170b85baa3c373dfe7d55a13cfa6f8fa,58d06876281551a577cfd1cb81165463170b85baa3c373dfe7d55a13cfa6f8fa,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Sesiones_Cerradas/README.md,1ce0d6977a5510698b81a4ee31847213b908e50ae26a0755d4c1a4912f9670e0,1ce0d6977a5510698b81a4ee31847213b908e50ae26a0755d4c1a4912f9670e0,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Versiones_Cerradas/README.md,51cef7753c481db4a2f5fbb1fc009f4275c2cd5120c5ca4a0db405b244fe8710,51cef7753c481db4a2f5fbb1fc009f4275c2cd5120c5ca4a0db405b244fe8710,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/README.md,b4d2de79a099107a0496bbc569235920d45c1111eb0d75e35f99ecae1460a5d0,b4d2de79a099107a0496bbc569235920d45c1111eb0d75e35f99ecae1460a5d0,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/.gitignore,78157d0aec2adb3b99c60a35591c69c827f63dfd3ef52ad07d2f8561cc43b417,78157d0aec2adb3b99c60a35591c69c827f63dfd3ef52ad07d2f8561cc43b417,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/CHANGELOG.md,39e49bbdce2dad28b273988ad9daf416635f1e279bde85df2bda2c2207fb1141,39e49bbdce2dad28b273988ad9daf416635f1e279bde85df2bda2c2207fb1141,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/README.md,b36f7b019f0e4bc581067baaff6e144f6605e907ef89ce7f38874222d1a7c236,b36f7b019f0e4bc581067baaff6e144f6605e907ef89ce7f38874222d1a7c236,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/README_Original.md,1e4e7ffe6c3fb96058df9afed71f202ad24a6629c2ce9365281726adb54dfde0,1e4e7ffe6c3fb96058df9afed71f202ad24a6629c2ce9365281726adb54dfde0,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/compendia/COMPENDIUM_INDEX.md,72596397baa46903944b04079cb6347e02de4813d82a9c61835e531642948bd4,72596397baa46903944b04079cb6347e02de4813d82a9c61835e531642948bd4,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/compendia/compendium-mvp-alpha.md,9548ec5bd5bd691955d2bc90051d2f366ed9b78ee841d57117d895327243a530,9548ec5bd5bd691955d2bc90051d2f366ed9b78ee841d57117d895327243a530,yes,PASS
