name,version,scope,license,lifecycle_scripts
@testing-library/dom,10.4.1,direct_development,MIT,
@testing-library/react,16.3.2,direct_development,MIT,
@testing-library/user-event,14.6.1,direct_development,MIT,
@types/node,26.1.1,direct_development,MIT,
@types/react,19.2.17,direct_development,MIT,
@types/react-dom,19.2.3,direct_development,MIT,
@vitejs/plugin-react,6.0.3,direct_development,MIT,
ajv,8.20.0,direct_development,MIT,
ajv-formats,3.0.1,direct_development,MIT,
jsdom,29.1.1,direct_development,MIT,
typescript,7.0.2,direct_development,Apache-2.0,
vite,8.1.4,direct_development,MIT,
vitest,4.1.10,direct_development,MIT,
react,19.2.7,direct_production,MIT,
react-dom,19.2.7,direct_production,MIT,
@asamuzakjp/css-color,5.1.11,transitive,MIT,
@asamuzakjp/dom-selector,7.1.1,transitive,MIT,
@asamuzakjp/generational-cache,1.0.1,transitive,MIT,
@asamuzakjp/nwsapi,2.3.9,transitive,MIT,
@babel/code-frame,7.29.7,transitive,MIT,
@babel/helper-validator-identifier,7.29.7,transitive,MIT,
@babel/runtime,7.29.7,transitive,MIT,
@bramus/specificity,2.4.2,transitive,MIT,
@csstools/color-helpers,6.1.0,transitive,MIT-0,
@csstools/css-calc,3.2.1,transitive,MIT,
@csstools/css-color-parser,4.1.9,transitive,MIT,
@csstools/css-parser-algorithms,4.0.0,transitive,MIT,
@csstools/css-syntax-patches-for-csstree,1.1.6,transitive,MIT-0,
@csstools/css-tokenizer,4.0.0,transitive,MIT,
@exodus/bytes,1.15.1,transitive,MIT,
@jridgewell/sourcemap-codec,1.5.5,transitive,MIT,
@oxc-project/types,0.139.0,transitive,MIT,
@rolldown/binding-darwin-arm64,1.1.5,transitive,MIT,
@rolldown/pluginutils,1.0.1,transitive,MIT,
@standard-schema/spec,1.1.0,transitive,MIT,
@types/aria-query,5.0.4,transitive,MIT,
@types/chai,5.2.3,transitive,MIT,
@types/deep-eql,4.0.2,transitive,MIT,
@types/estree,1.0.9,transitive,MIT,
@typescript/typescript-darwin-arm64,7.0.2,transitive,Apache-2.0,
@vitest/expect,4.1.10,transitive,MIT,
@vitest/mocker,4.1.10,transitive,MIT,
@vitest/pretty-format,4.1.10,transitive,MIT,
@vitest/runner,4.1.10,transitive,MIT,
@vitest/snapshot,4.1.10,transitive,MIT,
@vitest/spy,4.1.10,transitive,MIT,
@vitest/utils,4.1.10,transitive,MIT,
ansi-regex,5.0.1,transitive,MIT,
ansi-styles,5.2.0,transitive,MIT,
aria-query,5.3.0,transitive,Apache-2.0,
assertion-error,2.0.1,transitive,MIT,
benchmark,1.0.0,transitive,ISC,
bidi-js,1.0.3,transitive,MIT,
chai,6.2.2,transitive,MIT,
convert-source-map,2.0.0,transitive,MIT,
css-tree,3.2.1,transitive,MIT,
csstype,3.2.3,transitive,MIT,
data-urls,7.0.0,transitive,MIT,
decimal.js,10.6.0,transitive,MIT,
dequal,2.0.3,transitive,MIT,
detect-libc,2.1.2,transitive,Apache-2.0,
dom-accessibility-api,0.5.16,transitive,MIT,
entities,8.0.0,transitive,BSD-2-Clause,
es-module-lexer,2.3.1,transitive,MIT,
estree-walker,3.0.3,transitive,MIT,
expect-type,1.4.0,transitive,Apache-2.0,
fast-deep-equal,3.1.3,transitive,MIT,
fast-uri,3.1.4,transitive,BSD-3-Clause,
fdir,6.5.0,transitive,MIT,
fsevents,2.3.3,transitive,MIT,
html-encoding-sniffer,6.0.0,transitive,MIT,
is-potential-custom-element-name,1.0.1,transitive,MIT,
js-tokens,4.0.0,transitive,MIT,
json-schema-traverse,1.0.0,transitive,MIT,
lightningcss,1.32.0,transitive,MPL-2.0,
lightningcss-darwin-arm64,1.32.0,transitive,MPL-2.0,
lru-cache,11.5.2,transitive,BlueOak-1.0.0,
lz-string,1.5.0,transitive,MIT,
magic-string,0.30.21,transitive,MIT,
mdn-data,2.27.1,transitive,CC0-1.0,
nanoid,3.3.16,transitive,MIT,
obug,2.1.3,transitive,MIT,
parse5,8.0.1,transitive,MIT,
pathe,2.0.3,transitive,MIT,
picocolors,1.1.1,transitive,ISC,
picomatch,4.0.5,transitive,MIT,
postcss,8.5.19,transitive,MIT,
pretty-format,27.5.1,transitive,MIT,
punycode,2.3.1,transitive,MIT,
react-is,17.0.2,transitive,MIT,
require-from-string,2.0.2,transitive,MIT,
rolldown,1.1.5,transitive,MIT,
saxes,6.0.0,transitive,ISC,
scheduler,0.27.0,transitive,MIT,
siginfo,2.0.0,transitive,ISC,
source-map-js,1.2.1,transitive,BSD-3-Clause,
stackback,0.0.2,transitive,MIT,
std-env,4.2.0,transitive,MIT,
symbol-tree,3.2.4,transitive,MIT,
tinybench,2.9.0,transitive,MIT,
tinyexec,1.2.4,transitive,MIT,
tinyglobby,0.2.17,transitive,MIT,
tinyrainbow,3.1.0,transitive,MIT,
tldts,7.4.9,transitive,MIT,
tldts-core,7.4.9,transitive,MIT,
tough-cookie,6.0.2,transitive,BSD-3-Clause,
tr46,6.0.0,transitive,MIT,
undici,7.28.0,transitive,MIT,
undici-types,8.3.0,transitive,MIT,
vscode-jsonrpc,9.0.0,transitive,MIT,
w3c-xmlserializer,5.0.0,transitive,MIT,
webidl-conversions,8.0.1,transitive,BSD-2-Clause,
whatwg-mimetype,5.0.0,transitive,MIT,
whatwg-url,16.0.1,transitive,MIT,
why-is-node-running,2.3.0,transitive,MIT,
xml-name-validator,5.0.0,transitive,Apache-2.0,
xmlchars,2.2.0,transitive,MIT,
